Jade Peas,#REF!,Sweetroot,#REF!,,,Fibrous Stew,#REF!,3,No,No
Jade Peas,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,3,No,No
Non-Toxic Mushrooms,#REF!,Non-Toxic Mushrooms,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Non-Toxic Mushrooms,#REF!,Sievert Beans,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Non-Toxic Mushrooms,#REF!,Sweetroot,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Non-Toxic Mushrooms,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Sievert Beans,#REF!,Sievert Beans,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Sievert Beans,#REF!,Sweetroot,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Sievert Beans,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Sweetroot,#REF!,Sweetroot,#REF!,,,Fibrous Stew,#REF!,3,No,No
Sweetroot,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,3,No,No
Pulpy Roots,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,3,No,No
Offal Sac,#REF!,Offal Sac,#REF!,,,Stewed Organs,#REF!,3,No,No
Feline Liver,#REF!,Feline Liver,#REF!,,,Stewed Organs,#REF!,3,No,No
Offal Sac,#REF!,Feline Liver,#REF!,,,Stewed Organs,#REF!,3,No,No
Creature Egg,#REF!,Tangy Cheese,#REF!,,,Omelette,#REF!,7,No,Kind of
Tall Eggs,#REF!,Tangy Cheese,#REF!,,,Omelette,#REF!,7,No,Kind of
Giant Eggs,#REF!,Tangy Cheese,#REF!,,,Omelette,#REF!,7,No,Kind of
Larval Core,#REF!,Tangy Cheese,#REF!,,,Whispering Omelette,#REF!,7,No,No
Creature Egg,#REF!,Proto-Cheese,#REF!,,,Proto-Omelette,#REF!,7,No,Kind of
Tall Eggs,#REF!,Proto-Cheese,#REF!,,,Proto-Omelette,#REF!,7,No,Kind of
Giant Eggs,#REF!,Proto-Cheese,#REF!,,,Proto-Omelette,#REF!,7,No,Kind of
Larval Core,#REF!,Proto-Cheese,#REF!,,,Parasitic Omelette,#REF!,7,No,No
Pulpy Roots,#REF!,,,,,Root Juice,#REF!,2,No,No
Pilgrimberry,#REF!,,,,,Pilgrim's Tonic,#REF!,3,No,Yes
Fireberry,#REF!,,,,,Fire Water,#REF!,2,No,No
Aloe Flesh,#REF!,,,,,Refreshing Drink,#REF!,2,No,No
Root Juice,#REF!,Steamed Vegetables,#REF!,,,Flavoursome Sauce,#REF!,5,No,No
Steamed Vegetables,#REF!,Steamed Vegetables,#REF!,,,Flavoursome Sauce,#REF!,5,No,Yes
Fire Water,#REF!,Fire Water,#REF!,,,Scorching Sauce,#REF!,5,Yes,No
Fire Water,#REF!,Fireberry,#REF!,,,Scorching Sauce,#REF!,4,No,No
Fire Water,#REF!,Solartillo,#REF!,,,Scorching Sauce,#REF!,5,Yes,No
Fire Water,#REF!,Sievert Beans,#REF!,,,Scorching Sauce,#REF!,5,Yes,No
Fire Water,#REF!,Grahberry,#REF!,,,Scorching Sauce,#REF!,4,No,No
Root Juice,#REF!,Fireberry,#REF!,,,Scorching Sauce,#REF!,4,No,No
Root Juice,#REF!,Solartillo,#REF!,,,Scorching Sauce,#REF!,5,Yes,No
Root Juice,#REF!,Sievert Beans,#REF!,,,Scorching Sauce,#REF!,5,Yes,No
Root Juice,#REF!,Grahberry,#REF!,,,Scorching Sauce,#REF!,4,No,No
Cream,#REF!,Cream,#REF!,,,Creamy Sauce,#REF!,5,No,Kind of
Cream,#REF!,Proto-Cream,#REF!,,,Creamy Sauce,#REF!,5,No,Kind of
Proto-Cream,#REF!,Proto-Cream,#REF!,,,Creamy Sauce,#REF!,5,No,Kind of
Cream,#REF!,Tangy Cheese,#REF!,,,Partially-Liquid Cheese,#REF!,8,No,Kind of
Cream,#REF!,Proto-Cheese,#REF!,,,Partially-Liquid Cheese,#REF!,8,No,Kind of
Proto-Cream,#REF!,Tangy Cheese,#REF!,,,Partially-Liquid Cheese,#REF!,8,No,Kind of
Proto-Cream,#REF!,Proto-Cheese,#REF!,,,Partially-Liquid Cheese,#REF!,8,No,Kind of
Stewed Organs,#REF!,Partially-Liquid Cheese,#REF!,,,Tangy Organ Surprise,#REF!,12,No,No
Fibrous Stew,#REF!,Partially-Liquid Cheese,#REF!,,,Tangy Vegetable Stew,#REF!,12,No,Kind of
Mystery Meat Stew,#REF!,Partially-Liquid Cheese,#REF!,,,Cheese-and-Flesh Stew,#REF!,12,No,Kind of
Stewed Organs,#REF!,Creamy Sauce,#REF!,,,Creamed Organ Soup,#REF!,9,No,No
Fibrous Stew,#REF!,Creamy Sauce,#REF!,,,Cream of Vegetable Soup,#REF!,9,No,Kind of
Mystery Meat Stew,#REF!,Creamy Sauce,#REF!,,,Thick Meat Stew,#REF!,9,No,Kind of
Stewed Organs,#REF!,Scorching Sauce,#REF!,,,Devilled Organs,#REF!,8,No,No
Fibrous Stew,#REF!,Scorching Sauce,#REF!,,,Fiery Vegetable Stew,#REF!,8,No,No
Mystery Meat Stew,#REF!,Scorching Sauce,#REF!,,,Spicy Fleshballs,#REF!,8,No,No
Stewed Organs,#REF!,Flavoursome Sauce,#REF!,,,Flavoursome Organs,#REF!,9,No,No
Fibrous Stew,#REF!,Flavoursome Sauce,#REF!,,,Delicious Vegetable Stew,#REF!,9,No,Yes
Mystery Meat Stew,#REF!,Flavoursome Sauce,#REF!,,,Herb-Encrusted Flesh,#REF!,9,No,Yes
Sweetened Butter,#REF!,Refined Flour,#REF!,Creature Egg,#REF!,Cake Batter,#REF!,10,No,Kind of
Honey Butter,#REF!,Refined Flour,#REF!,Creature Egg,#REF!,Cake Batter,#REF!,10,No,Kind of
Sweetened Butter,#REF!,Refined Flour,#REF!,Tall Eggs,#REF!,Cake Batter,#REF!,10,No,Kind of
Honey Butter,#REF!,Refined Flour,#REF!,Tall Eggs,#REF!,Cake Batter,#REF!,10,No,Kind of
Sweetened Butter,#REF!,Refined Flour,#REF!,Giant Eggs,#REF!,Cake Batter,#REF!,10,No,Kind of
Honey Butter,#REF!,Refined Flour,#REF!,Giant Eggs,#REF!,Cake Batter,#REF!,10,No,Kind of
Sweetened Proto-Butter,#REF!,Refined Flour,#REF!,Creature Egg,#REF!,Proto-Batter,#REF!,10,No,Kind of
Honied Proto-Butter,#REF!,Refined Flour,#REF!,Creature Egg,#REF!,Proto-Batter,#REF!,10,No,Kind of
Sweetened Proto-Butter,#REF!,Refined Flour,#REF!,Tall Eggs,#REF!,Proto-Batter,#REF!,10,No,Kind of
Honied Proto-Butter,#REF!,Refined Flour,#REF!,Tall Eggs,#REF!,Proto-Batter,#REF!,10,No,Kind of
Sweetened Proto-Butter,#REF!,Refined Flour,#REF!,Giant Eggs,#REF!,Proto-Batter,#REF!,10,No,Kind of
Honied Proto-Butter,#REF!,Refined Flour,#REF!,Giant Eggs,#REF!,Proto-Batter,#REF!,10,No,Kind of
Gooey Proto-Butter,#REF!,Refined Flour,#REF!,Creature Egg,#REF!,"Thick, Sweet Batter",#REF!,9,No,Kind of
Gooey Butter,#REF!,Refined Flour,#REF!,Creature Egg,#REF!,"Thick, Sweet Batter",#REF!,9,No,Kind of
Gooey Proto-Butter,#REF!,Refined Flour,#REF!,Tall Eggs,#REF!,"Thick, Sweet Batter",#REF!,9,No,Kind of
Gooey Butter,#REF!,Refined Flour,#REF!,Tall Eggs,#REF!,"Thick, Sweet Batter",#REF!,9,No,Kind of
Gooey Proto-Butter,#REF!,Refined Flour,#REF!,Giant Eggs,#REF!,"Thick, Sweet Batter",#REF!,9,No,Kind of
Gooey Butter,#REF!,Refined Flour,#REF!,Giant Eggs,#REF!,"Thick, Sweet Batter",#REF!,9,No,Kind of
Sweetened Butter,#REF!,Refined Flour,#REF!,Larval Core,#REF!,Wailing Batter,#REF!,10,Yes,No
Sweetened Proto-Butter,#REF!,Refined Flour,#REF!,Larval Core,#REF!,Wailing Batter,#REF!,10,Yes,No
Honey Butter,#REF!,Refined Flour,#REF!,Larval Core,#REF!,Wailing Batter,#REF!,10,Yes,No
Honied Proto-Butter,#REF!,Refined Flour,#REF!,Larval Core,#REF!,Wailing Batter,#REF!,10,Yes,No
Gooey Butter,#REF!,Refined Flour,#REF!,Larval Core,#REF!,Wailing Batter,#REF!,9,No,No
Gooey Proto-Butter,#REF!,Refined Flour,#REF!,Larval Core,#REF!,Wailing Batter,#REF!,9,No,No
Delicate Meringue,#REF!,Refined Flour,#REF!,Creature Egg,#REF!,Extra-Fluffy Batter,#REF!,8,No,Kind of
Delicate Meringue,#REF!,Refined Flour,#REF!,Tall Eggs,#REF!,Extra-Fluffy Batter,#REF!,8,No,Kind of
Delicate Meringue,#REF!,Refined Flour,#REF!,Giant Eggs,#REF!,Extra-Fluffy Batter,#REF!,8,No,Kind of
Delicate Meringue,#REF!,Refined Flour,#REF!,Larval Core,#REF!,"Writhing, Roling Batter",#REF!,8,No,No
Cake Batter,#REF!,Synthetic Honey,#REF!,,,Glittering Honey Cake,#REF!,13,No,Kind of
Cake Batter,#REF!,Cream,#REF!,,,Cream Buns,#REF!,13,No,Kind of
Cake Batter,#REF!,Sticky Honey,#REF!,,,Questionably Sweet Cake,#REF!,12,Yes,Kind of
Cake Batter,#REF!,Gooey Butter,#REF!,,,Questionably Sweet Cake,#REF!,16,Yes,Kind of
"Thick, Sweet Batter",#REF!,Sticky Honey,#REF!,,,Questionably Sweet Cake,#REF!,11,No,Kind of
"Thick, Sweet Batter",#REF!,Gooey Butter,#REF!,,,Questionably Sweet Cake,#REF!,15,Yes,Kind of
Cake Batter,#REF!,Bittersweet Cocoa,#REF!,,,Chocolate Cake,#REF!,13,No,No
Cake Batter,#REF!,Crunchy Caramel,#REF!,,,Caramel-Encrusted Cake,#REF!,14,No,Kind of
Cake Batter,#REF!,Crab `Apple`,#REF!,,,Spiced `Apple` Cake,#REF!,12,No,Kind of
Cake Batter,#REF!,Wriggling Jam,#REF!,Cream,#REF!,Spiced `Apple` Cake,#REF!,17,Yes,Kind of
Cake Batter,#REF!,Cactus Nectar,#REF!,,,Esophageal Surprise,#REF!,13,No,Kind of
Cake Batter,#REF!,Cactus Jelly,#REF!,Cream,#REF!,Esophageal Surprise,#REF!,18,Yes,Kind of
Cake Batter,#REF!,Grahj'am,#REF!,Cream,#REF!,Traditional Cake,#REF!,17,No,No
Cake Batter,#REF!,Furball Jelly,#REF!,Cream,#REF!,Traditional Cake,#REF!,17,No,Kind of
Cake Batter,#REF!,Ever-burning Jam,#REF!,Cream,#REF!,Ever-Boiling Cake,#REF!,17,No,No
Cake Batter,#REF!,Anomalous Jam,#REF!,Cream,#REF!,Perpetual Cake,#REF!,17,No,No
Cake Batter,#REF!,Viscous Custard,#REF!,,,Custard Fancy,#REF!,17,No,Kind of
Cake Batter,#REF!,Salty Custard,#REF!,,,Briney Delight,#REF!,17,No,Kind of
Cake Batter,#REF!,Monstrous Custard,#REF!,,,"Horrifying, Gooey Delight",#REF!,17,Yes,No
Proto-Batter,#REF!,Monstrous Custard,#REF!,,,"Horrifying, Gooey Delight",#REF!,17,Yes,No
Wailing Batter,#REF!,Viscous Custard,#REF!,,,"Horrifying, Gooey Delight",#REF!,16,No,No
Wailing Batter,#REF!,Salty Custard,#REF!,,,"Horrifying, Gooey Delight",#REF!,16,No,No
Wailing Batter,#REF!,Monstrous Custard,#REF!,,,"Horrifying, Gooey Delight",#REF!,16,No,No
Wailing Batter,#REF!,Stellar Custard,#REF!,,,"Horrifying, Gooey Delight",#REF!,17,Yes,No
Cake Batter,#REF!,Stellar Custard,#REF!,,,Interstellar Fancy,#REF!,18,No,Kind of
Hypnotic Eye,#REF!,,,,,Horrifying Mush,#REF!,2,No,No
Hypnotic Eye,#REF!,Hypnotic Eye,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Horrifying Mush,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Horrifying Mush,#REF!,,,Abyssal Stew,#REF!,5,Yes,No
Horrifying Mush,#REF!,Processed Meat,#REF!,,,Abyssal Stew,#REF!,5,Yes,No
Horrifying Mush,#REF!,Smoked Meat,#REF!,,,Abyssal Stew,#REF!,5,Yes,No
Horrifying Mush,#REF!,Meaty Chunks,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Offal Sac,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Feline Liver,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Meaty Wings,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Proto Sausage,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Diplo Chunks,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Scaly Meat,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Strider Sausage,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Raw Steak,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Steamed Vegetables,#REF!,,,Abyssal Stew,#REF!,5,Yes,No
Horrifying Mush,#REF!,Impulse Beans,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Solartillo,#REF!,,,Abyssal Stew,#REF!,5,Yes,No
Horrifying Mush,#REF!,Jade Peas,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Non-Toxic Mushrooms,#REF!,,,Abyssal Stew,#REF!,5,Yes,No
Horrifying Mush,#REF!,Sievert Beans,#REF!,,,Abyssal Stew,#REF!,5,Yes,No
Horrifying Mush,#REF!,Sweetroot,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Horrifying Mush,#REF!,Pulpy Roots,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Processed Meat,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Smoked Meat,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Meaty Chunks,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Offal Sac,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Feline Liver,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Meaty Wings,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Proto Sausage,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Diplo Chunks,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Scaly Meat,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Strider Sausage,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Raw Steak,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Steamed Vegetables,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Impulse Beans,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Solartillo,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Jade Peas,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Non-Toxic Mushrooms,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Sievert Beans,#REF!,,,Abyssal Stew,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Sweetroot,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Pulpy Roots,#REF!,,,Abyssal Stew,#REF!,3,No,No
Hypnotic Eye,#REF!,Frozen Tubers,#REF!,,,Iced Screams,#REF!,3,No,No
Horrifying Mush,#REF!,Frozen Tubers,#REF!,,,Iced Screams,#REF!,4,Yes,No
Hypnotic Eye,#REF!,Frost Crystal,#REF!,,,Iced Screams,#REF!,3,No,No
Horrifying Mush,#REF!,Frost Crystal,#REF!,,,Iced Screams,#REF!,4,Yes,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,,,Ice Cream,#REF!,8,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,,,Ice Cream,#REF!,8,No,Kind of
Salty Custard,#REF!,Frozen Tubers,#REF!,,,Briney Rime,#REF!,8,No,No
Salty Custard,#REF!,Frost Crystal,#REF!,,,Briney Rime,#REF!,8,No,Kind of
Monstrous Custard,#REF!,Frozen Tubers,#REF!,,,Deathly-Cold Ice Cream,#REF!,8,No,No
Monstrous Custard,#REF!,Frost Crystal,#REF!,,,Deathly-Cold Ice Cream,#REF!,8,No,No
Stellar Custard,#REF!,Frozen Tubers,#REF!,,,Stellar Ice Cream,#REF!,9,No,No
Stellar Custard,#REF!,Frost Crystal,#REF!,,,Stellar Ice Cream,#REF!,9,No,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Bittersweet Cocoa,#REF!,Chocolate Ice Cream,#REF!,10,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Bittersweet Cocoa,#REF!,Chocolate Ice Cream,#REF!,10,No,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,Crunchy Caramel,#REF!,Caramel Ice Cream,#REF!,11,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Crunchy Caramel,#REF!,Caramel Ice Cream,#REF!,11,No,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Cactus Jelly,#REF!,Fruity Ice Cream,#REF!,13,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Cactus Jelly,#REF!,Fruity Ice Cream,#REF!,13,Yes,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Furball Jelly,#REF!,Fruity Ice Cream,#REF!,12,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Furball Jelly,#REF!,Fruity Ice Cream,#REF!,12,Yes,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Cactus Nectar,#REF!,Fruity Ice Cream,#REF!,10,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Cactus Nectar,#REF!,Fruity Ice Cream,#REF!,10,Yes,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Leopard-Fruit,#REF!,Fruity Ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Leopard-Fruit,#REF!,Fruity Ice Cream,#REF!,9,No,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Sweetroot,#REF!,Fruity Ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Sweetroot,#REF!,Fruity Ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,Pilgrimberry,#REF!,Fruity Ice Cream,#REF!,10,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Pilgrimberry,#REF!,Fruity Ice Cream,#REF!,10,Yes,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Crab `Apple`,#REF!,`Apple` Ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Crab `Apple`,#REF!,`Apple` Ice Cream,#REF!,9,No,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Wriggling Jam,#REF!,`Apple` Ice Cream,#REF!,12,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Wriggling Jam,#REF!,`Apple` Ice Cream,#REF!,12,Yes,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Synthetic Honey,#REF!,Honey Ice Cream,#REF!,10,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Synthetic Honey,#REF!,Honey Ice Cream,#REF!,10,Yes,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Sticky Honey,#REF!,Honey Ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Sticky Honey,#REF!,Honey Ice Cream,#REF!,9,No,Kind of
Viscous Custard,#REF!,Frozen Tubers,#REF!,Hexaberry,#REF!,Perpetual Ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Hexaberry,#REF!,Perpetual Ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,Anomalous Jam,#REF!,Perpetual Ice Cream,#REF!,12,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Anomalous Jam,#REF!,Perpetual Ice Cream,#REF!,12,Yes,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,Grahberry,#REF!,Vy'ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Grahberry,#REF!,Vy'ice Cream,#REF!,9,No,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,Grahj'am,#REF!,Vy'ice Cream,#REF!,12,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Grahj'am,#REF!,Vy'ice Cream,#REF!,12,Yes,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,Ever-burning Jam,#REF!,Spiced Ice,#REF!,12,Yes,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Ever-burning Jam,#REF!,Spiced Ice,#REF!,12,Yes,No
Viscous Custard,#REF!,Frozen Tubers,#REF!,Fireberry,#REF!,Spiced Ice,#REF!,9,No,No
Viscous Custard,#REF!,Frost Crystal,#REF!,Fireberry,#REF!,Spiced Ice,#REF!,9,No,No
Proto-Batter,#REF!,Sticky Honey,#REF!,,,Most Curious Cake,#REF!,12,No,Kind of
Proto-Batter,#REF!,Gooey Butter,#REF!,,,Most Curious Cake,#REF!,16,Yes,Kind of
Proto-Batter,#REF!,Cream,#REF!,,,Cream Curiosity,#REF!,13,No,Kind of
Proto-Batter,#REF!,Bittersweet Cocoa,#REF!,,,Chocolate Curiosity,#REF!,13,No,No
Proto-Batter,#REF!,Crunchy Caramel,#REF!,,,Caramel Curiosity,#REF!,14,No,Kind of
Proto-Batter,#REF!,Crab `Apple`,#REF!,,,`Apple` Curiosity,#REF!,12,No,Kind of
Proto-Batter,#REF!,Wriggling Jam,#REF!,Cream,#REF!,`Apple` Curiosity,#REF!,17,Yes,Kind of
Proto-Batter,#REF!,Cactus Nectar,#REF!,,,Prickly Curiosity,#REF!,13,No,Kind of
Proto-Batter,#REF!,Cactus Jelly,#REF!,Cream,#REF!,Prickly Curiosity,#REF!,18,Yes,Kind of
Proto-Batter,#REF!,Grahj'am,#REF!,Cream,#REF!,Jam Curiosity,#REF!,17,No,No
Proto-Batter,#REF!,Furball Jelly,#REF!,Cream,#REF!,Jam Curiosity,#REF!,17,No,Kind of
Proto-Batter,#REF!,Ever-burning Jam,#REF!,Cream,#REF!,Startling Fancy,#REF!,17,No,No
Proto-Batter,#REF!,Anomalous Jam,#REF!,Cream,#REF!,Unsolvable Jam Turnover,#REF!,17,No,No
Proto-Batter,#REF!,Viscous Custard,#REF!,,,Custard Curiosity,#REF!,17,No,Kind of
Proto-Batter,#REF!,Salty Custard,#REF!,,,Salty Surprise,#REF!,17,No,Kind of
Proto-Batter,#REF!,Stellar Custard,#REF!,,,Interstellar Curiosity,#REF!,18,No,Kind of
"Thick, Sweet Batter",#REF!,Synthetic Honey,#REF!,,,Honey-Soaked Fancy,#REF!,12,No,Kind of
"Thick, Sweet Batter",#REF!,Cream,#REF!,,,Sweet Cream Dreams,#REF!,12,No,Kind of
"Thick, Sweet Batter",#REF!,Bittersweet Cocoa,#REF!,,,Gooey Chocolate Cake,#REF!,12,No,No
"Thick, Sweet Batter",#REF!,Crab `Apple`,#REF!,,,Gooey Fruit Surprise,#REF!,11,No,Kind of
"Thick, Sweet Batter",#REF!,Wriggling Jam,#REF!,Cream,#REF!,Gooey Fruit Surprise,#REF!,16,Yes,Kind of
"Thick, Sweet Batter",#REF!,Cactus Nectar,#REF!,,,Honied Throat-Sticker,#REF!,12,No,Kind of
"Thick, Sweet Batter",#REF!,Cactus Jelly,#REF!,Cream,#REF!,Honied Throat-Sticker,#REF!,17,Yes,Kind of
"Thick, Sweet Batter",#REF!,Grahj'am,#REF!,Cream,#REF!,Jam Oozers,#REF!,16,No,No
"Thick, Sweet Batter",#REF!,Furball Jelly,#REF!,Cream,#REF!,Jam Oozers,#REF!,16,No,Kind of
"Thick, Sweet Batter",#REF!,Ever-burning Jam,#REF!,Cream,#REF!,Gooey Mouthburner,#REF!,16,No,No
"Thick, Sweet Batter",#REF!,Anomalous Jam,#REF!,Cream,#REF!,Perpetual Honeycake,#REF!,16,No,No
"Thick, Sweet Batter",#REF!,Viscous Custard,#REF!,,,Gooey Custard Fancy,#REF!,16,No,Kind of
"Thick, Sweet Batter",#REF!,Salty Custard,#REF!,,,Salt-Laced Honey Cake,#REF!,16,No,Kind of
"Thick, Sweet Batter",#REF!,Stellar Custard,#REF!,,,Starbirth Delight,#REF!,17,No,Kind of
Wailing Batter,#REF!,Cream,#REF!,,,Doomed Cream Cake,#REF!,12,No,No
Wailing Batter,#REF!,Bittersweet Cocoa,#REF!,,,Haunted Chocolate Dreams,#REF!,12,No,No
Wailing Batter,#REF!,Crunchy Caramel,#REF!,,,Wailing Caramel Cake,#REF!,13,No,No
Wailing Batter,#REF!,Crab `Apple`,#REF!,,,`Apple` Cake of Lost Souls,#REF!,11,No,No
Wailing Batter,#REF!,Wriggling Jam,#REF!,Cream,#REF!,`Apple` Cake of Lost Souls,#REF!,16,Yes,No
Wailing Batter,#REF!,Cactus Nectar,#REF!,,,Choking Monstroosity Cake,#REF!,12,No,No
Wailing Batter,#REF!,Cactus Jelly,#REF!,Cream,#REF!,Choking Monstroosity Cake,#REF!,17,Yes,No
Wailing Batter,#REF!,Grahj'am,#REF!,Cream,#REF!,Appalling Jam Sponge,#REF!,16,No,No
Wailing Batter,#REF!,Furball Jelly,#REF!,Cream,#REF!,Appalling Jam Sponge,#REF!,16,No,No
Wailing Batter,#REF!,Ever-burning Jam,#REF!,Cream,#REF!,Cake of Burning Dread,#REF!,16,No,No
Wailing Batter,#REF!,Anomalous Jam,#REF!,Cream,#REF!,Cake of Glass,#REF!,16,No,No
Extra-Fluffy Batter,#REF!,Synthetic Honey,#REF!,,,Honied Angel Cake,#REF!,11,No,Kind of
Extra-Fluffy Batter,#REF!,Sticky Honey,#REF!,,,Gooey Honey Puff,#REF!,10,No,Kind of
Extra-Fluffy Batter,#REF!,Gooey Butter,#REF!,,,Gooey Honey Puff,#REF!,14,Yes,Kind of
Extra-Fluffy Batter,#REF!,Cream,#REF!,,,Extra-Fluffy Cream Cake,#REF!,11,No,Kind of
Extra-Fluffy Batter,#REF!,Bittersweet Cocoa,#REF!,,,Chocolate Dream,#REF!,11,No,No
Extra-Fluffy Batter,#REF!,Crunchy Caramel,#REF!,,,Fluffy Caramel Delight,#REF!,12,No,Kind of
Extra-Fluffy Batter,#REF!,Crab `Apple`,#REF!,,,Angelic Fruitcake,#REF!,10,No,Kind of
Extra-Fluffy Batter,#REF!,Wriggling Jam,#REF!,Cream,#REF!,Angelic Fruitcake,#REF!,15,Yes,Kind of
Extra-Fluffy Batter,#REF!,Cactus Nectar,#REF!,,,Soft and Spiky Surprise,#REF!,11,No,Kind of
Extra-Fluffy Batter,#REF!,Cactus Jelly,#REF!,Cream,#REF!,Soft and Spiky Surprise,#REF!,16,Yes,Kind of
